XinV,YinV,RinV,outputphase
2.0981e-005,0.000280621,0.000281336,85.722
2.02657e-005,0.000283243,0.000283958,85.896
1.85968e-005,0.000284435,0.000284912,86.244
1.69278e-005,0.000283958,0.000284435,86.574
1.6451e-005,0.000282766,0.000283482,86.664
1.71663e-005,0.000281336,0.000281813,86.478
1.95504e-005,0.000277283,0.00027776,85.944
2.12194e-005,0.000273706,0.000274422,85.548
2.0981e-005,0.000279667,0.000280621,85.71
1.88352e-005,0.000282289,0.000283005,86.154
1.76431e-005,0.000282289,0.000282766,86.418
1.66894e-005,0.000281813,0.000282289,86.586
1.76431e-005,0.000280621,0.000281097,86.364
1.76431e-005,0.000281336,0.000281813,86.376
1.90736e-005,0.000281097,0.000281813,86.1
1.81199e-005,0.000281813,0.000282528,86.28
1.69278e-005,0.000281813,0.000282289,86.52
1.81199e-005,0.000282289,0.000283005,86.322
1.85968e-005,0.000283005,0.00028372,86.196
1.88352e-005,0.000281813,0.000282528,86.142
1.88352e-005,0.000279428,0.000280144,86.112
2.07425e-005,0.000280621,0.000281336,85.752
1.97889e-005,0.000280144,0.000280859,85.956
1.97889e-005,0.000283005,0.00028372,85.992
1.71663e-005,0.000283482,0.000283958,86.502
1.6451e-005,0.000282766,0.000283482,86.628
1.66894e-005,0.000281813,0.000282289,86.586
1.76431e-005,0.000281097,0.000281574,86.37
1.85968e-005,0.000280859,0.000281574,86.196
1.97889e-005,0.000280382,0.000281097,85.956
1.97889e-005,0.000281336,0.000282051,85.968
1.9312e-005,0.000280859,0.000281574,86.028
1.9312e-005,0.000282528,0.000283243,86.088
1.69278e-005,0.000283482,0.000283958,86.568
1.35899e-005,0.00028515,0.000285627,87.258
1.71663e-005,0.000281336,0.000281813,86.478
2.00273e-005,0.000278475,0.000278952,85.86
2.05041e-005,0.000280621,0.000281574,85.788
2.07425e-005,0.000281336,0.000282289,85.77
2.07425e-005,0.000282528,0.000283482,85.782
1.97889e-005,0.000281813,0.000282528,85.944
1.88352e-005,0.000281574,0.000282289,86.142
1.88352e-005,0.000281097,0.000281813,86.136
1.69278e-005,0.000282051,0.000282528,86.52
1.6451e-005,0.000281336,0.000281813,86.646
1.76431e-005,0.000280621,0.000281097,86.4
1.76431e-005,0.000281574,0.000282051,86.376
1.85968e-005,0.000282051,0.000282766,86.184
1.78815e-005,0.000282289,0.000282766,86.352
1.85968e-005,0.000282289,0.000282766,86.22
1.76431e-005,0.000283005,0.000283482,86.43
1.71663e-005,0.000282766,0.000283482,86.496
1.85968e-005,0.000282051,0.000282766,86.184
1.90736e-005,0.000280382,0.000281097,86.088
1.9312e-005,0.000281097,0.000281813,86.07
1.90736e-005,0.000282289,0.000283005,86.118
1.9312e-005,0.00028372,0.000284435,86.106
1.83583e-005,0.000283005,0.00028372,86.262
1.83583e-005,0.000283243,0.000283958,86.262
1.71663e-005,0.00028515,0.000285627,86.526
1.52589e-005,0.000283958,0.000284435,86.91
1.26362e-005,0.000281097,0.000281574,87.42
1.54973e-005,0.000280621,0.000281097,86.808
1.69278e-005,0.000282051,0.000282528,86.55
1.81199e-005,0.000282289,0.000282766,86.286
1.88352e-005,0.000283243,0.000283958,86.166
1.90736e-005,0.000283958,0.000284674,86.142
1.85968e-005,0.000283482,0.000284197,86.232
1.81199e-005,0.000283482,0.000283958,86.334
1.66894e-005,0.000282766,0.000283482,86.598
1.76431e-005,0.000282766,0.000283243,86.394
1.74047e-005,0.000281813,0.000282289,86.448
1.88352e-005,0.000281097,0.000281813,86.136
2.02657e-005,0.000281574,0.000282289,85.836
2.14578e-005,0.000281336,0.000282289,85.602
2.14578e-005,0.000281097,0.000281813,85.626
2.05041e-005,0.000283005,0.000283958,85.824
2.0981e-005,0.000284435,0.000285389,85.746
2.00273e-005,0.000282766,0.000283482,85.926
1.9312e-005,0.000282289,0.000282766,86.052
1.66894e-005,0.000282766,0.000283482,86.598
1.6451e-005,0.000282528,0.000283005,86.658
1.74047e-005,0.000280621,0.000281097,86.43
1.81199e-005,0.000279428,0.000280144,86.28
1.9312e-005,0.000279905,0.000280621,86.052
1.97889e-005,0.000282051,0.000282766,85.944
2.07425e-005,0.000282289,0.000283243,85.782
2.26499e-005,0.000282766,0.00028372,85.422
2.64646e-005,0.000283005,0.000284435,84.618
2.26499e-005,0.000285627,0.000286581,85.434
1.95504e-005,0.000284674,0.000285389,86.052
1.90736e-005,0.000284435,0.00028515,86.148
1.66894e-005,0.000283005,0.000283482,86.598
1.6451e-005,0.000282528,0.000283005,86.628
1.76431e-005,0.000280621,0.000281097,86.4
1.71663e-005,0.000278713,0.00027919,86.442
1.81199e-005,0.000280144,0.000280621,86.256
2.00273e-005,0.000279905,0.000280621,85.884
2.14578e-005,0.000280382,0.000281097,85.584
2.14578e-005,0.000281813,0.000282528,85.638
2.26499e-005,0.000284435,0.000285389,85.446
2.26499e-005,0.000285866,0.000286581,85.434
2.02657e-005,0.000286104,0.000286581,85.938
1.76431e-005,0.000285866,0.000286343,86.466
1.62126e-005,0.000286343,0.000286819,86.736
1.59742e-005,0.000284912,0.000285389,86.754
1.6451e-005,0.000283482,0.000283958,86.634
1.59742e-005,0.000282051,0.000282528,86.754
1.69278e-005,0.000282289,0.000282766,86.556
1.74047e-005,0.000281097,0.000281813,86.442
1.85968e-005,0.000280382,0.000281097,86.19
2.02657e-005,0.000280621,0.000281336,85.824
2.19346e-005,0.000281813,0.000282528,85.5
2.28883e-005,0.000282528,0.000283482,85.35
2.19346e-005,0.000283243,0.000283958,85.56
2.47956e-005,0.000283482,0.000284435,84.96
2.2173e-005,0.000285627,0.000286581,85.53
1.97889e-005,0.000284912,0.000285627,85.986
1.76431e-005,0.00028372,0.000284197,86.406
1.71663e-005,0.000284674,0.00028515,86.52
1.71663e-005,0.000282528,0.000283005,86.49
1.59742e-005,0.000283005,0.000283482,86.73
1.4782e-005,0.000283482,0.00028372,87.006
1.38283e-005,0.000282051,0.000282289,87.162
1.54973e-005,0.000280621,0.000281097,86.838
1.4782e-005,0.000279905,0.000280144,86.97
1.6451e-005,0.000279667,0.000280144,86.628
1.83583e-005,0.000278236,0.000278952,86.196
1.97889e-005,0.000276329,0.000277044,85.896
1.97889e-005,0.000278475,0.000278952,85.926
2.12194e-005,0.000280382,0.000281097,85.65
2.0981e-005,0.000282289,0.000283005,85.746
2.0981e-005,0.000283243,0.000283958,85.728
2.07425e-005,0.000283958,0.000284674,85.806
2.00273e-005,0.00028515,0.000285866,85.956
1.97889e-005,0.000284912,0.000285627,85.986
1.90736e-005,0.000285627,0.000286343,86.166
1.81199e-005,0.000286104,0.000286581,86.37
1.6451e-005,0.000286104,0.000286581,86.664
1.6451e-005,0.000285389,0.000285866,86.694
1.57357e-005,0.000284912,0.000285389,86.82
1.54973e-005,0.000284197,0.000284674,86.844
1.50204e-005,0.000285389,0.000285627,86.958
1.16826e-005,0.00028968,0.000289919,87.66
1.26362e-005,0.00028515,0.000285627,87.426
1.35899e-005,0.000281097,0.000281574,87.216
1.4782e-005,0.000280382,0.000280621,86.97
1.54973e-005,0.000281574,0.000282051,86.85
1.50204e-005,0.000279667,0.000280144,86.898
1.59742e-005,0.000279428,0.000279905,86.724
1.78815e-005,0.00027919,0.000279667,86.316
1.81199e-005,0.000279428,0.000280144,86.25
1.85968e-005,0.000279428,0.000280144,86.184
1.81199e-005,0.000279667,0.000280382,86.25
1.95504e-005,0.000278952,0.000279667,85.968
2.0981e-005,0.000279428,0.000280382,85.674
1.97889e-005,0.000280621,0.000281336,85.962
1.97889e-005,0.000280621,0.000281097,85.956
1.88352e-005,0.000278952,0.000279428,86.106
1.95504e-005,0.000279905,0.000280621,85.98
1.97889e-005,0.000280144,0.000280859,85.92
2.05041e-005,0.000281097,0.000281813,85.794
2.0981e-005,0.000281097,0.000282051,85.698
2.05041e-005,0.000281336,0.000282289,85.8
2.0981e-005,0.000279905,0.000280621,85.71
2.0981e-005,0.000280859,0.000281813,85.728
2.07425e-005,0.000278475,0.00027919,85.722
2.02657e-005,0.000277998,0.000278952,85.782
2.00273e-005,0.000280859,0.000281574,85.896
2.02657e-005,0.000281097,0.000281813,85.866
2.02657e-005,0.000280144,0.000280859,85.818
1.71663e-005,0.000275375,0.000275852,86.4
1.78815e-005,0.000278236,0.000278713,86.298
1.9312e-005,0.00027919,0.000279905,86.01
1.97889e-005,0.000280382,0.000281097,85.956
2.12194e-005,0.000281097,0.000281813,85.662
1.97889e-005,0.000280621,0.000281097,85.956
1.88352e-005,0.000280621,0.000281097,86.124
1.85968e-005,0.000280382,0.000281097,86.19
1.83583e-005,0.000282051,0.000282766,86.25
1.78815e-005,0.000280621,0.000281097,86.334
1.85968e-005,0.000280382,0.000281097,86.16
1.83583e-005,0.000280859,0.000281574,86.232
1.85968e-005,0.000280859,0.000281574,86.196
1.74047e-005,0.000281097,0.000281813,86.442
1.66894e-005,0.000280382,0.000280859,86.562
1.59742e-005,0.000280382,0.000280859,86.7
1.57357e-005,0.000280859,0.000281336,86.772
1.57357e-005,0.000282528,0.000283005,86.796
1.69278e-005,0.000283005,0.000283482,86.562
1.54973e-005,0.000282766,0.000283243,86.862
1.54973e-005,0.000282289,0.000282766,86.826
1.62126e-005,0.000283243,0.00028372,86.7
1.76431e-005,0.000284674,0.00028515,86.454
1.74047e-005,0.000284912,0.000285389,86.484
1.66894e-005,0.000284197,0.000284674,86.61
1.57357e-005,0.000284912,0.000285389,86.82
1.6451e-005,0.000285627,0.000286104,86.694
2.02657e-005,0.00028825,0.000288965,85.968
2.55109e-005,0.000290396,0.000291588,84.948
2.2173e-005,0.000285389,0.000286104,85.524
2.07425e-005,0.000284435,0.00028515,85.812
2.00273e-005,0.000283482,0.000284197,85.932
1.85968e-005,0.000284197,0.000284912,86.244
1.81199e-005,0.000285627,0.000286104,86.364
1.81199e-005,0.000284912,0.000285627,86.322
2.00273e-005,0.000283005,0.00028372,85.926
2.00273e-005,0.000282528,0.000283243,85.92
1.85968e-005,0.000283243,0.000283958,86.232
1.71663e-005,0.000281813,0.000282289,86.478
1.6451e-005,0.000281574,0.000282051,86.646
1.59742e-005,0.000281097,0.000281813,86.712
1.57357e-005,0.000281097,0.000281574,86.778
1.71663e-005,0.000281336,0.000281813,86.478
1.76431e-005,0.000281574,0.000282051,86.376
1.59742e-005,0.000282289,0.000282766,86.76
1.6451e-005,0.000283243,0.00028372,86.634
1.69278e-005,0.000283958,0.000284435,86.544
1.76431e-005,0.000284912,0.000285627,86.454
1.83583e-005,0.000285627,0.000286343,86.298
1.88352e-005,0.000284435,0.00028515,86.184
1.90736e-005,0.000284197,0.000284912,86.142
1.88352e-005,0.000284435,0.00028515,86.184
1.9312e-005,0.000283243,0.000283958,86.094
1.88352e-005,0.000282051,0.000282766,86.148
1.85968e-005,0.000281097,0.000281813,86.202
1.6451e-005,0.000282289,0.000282766,86.658
1.38283e-005,0.000283005,0.000283482,87.168
1.57357e-005,0.000282766,0.000283482,86.796
1.59742e-005,0.000283005,0.000283482,86.766
1.59742e-005,0.000283243,0.00028372,86.736
1.69278e-005,0.000283482,0.000283958,86.538
1.74047e-005,0.000284435,0.000284912,86.478
1.76431e-005,0.000284197,0.000284674,86.412
1.85968e-005,0.000283482,0.000283958,86.196
1.97889e-005,0.000282766,0.000283482,85.992
1.97889e-005,0.000283005,0.00028372,85.992
1.88352e-005,0.000283005,0.00028372,86.16
1.76431e-005,0.000281813,0.000282289,86.412
1.6451e-005,0.000282289,0.000282766,86.652
1.66894e-005,0.000283243,0.00028372,86.598
1.76431e-005,0.000283243,0.00028372,86.4
1.69278e-005,0.000283243,0.00028372,86.532
1.81199e-005,0.000282766,0.000283243,86.328
1.83583e-005,0.000282766,0.000283482,86.262
1.81199e-005,0.000283482,0.000284197,86.304
1.76431e-005,0.000283482,0.000283958,86.4
1.6451e-005,0.000282528,0.000283005,86.628
1.69278e-005,0.000281813,0.000282289,86.514
1.76431e-005,0.000282528,0.000283005,86.424
1.62126e-005,0.000282766,0.000283482,86.694
1.54973e-005,0.000284674,0.00028515,86.85
1.69278e-005,0.000284674,0.00028515,86.55
1.85968e-005,0.000282766,0.000283482,86.19
2.24115e-005,0.000277521,0.000278475,85.368
1.97889e-005,0.000280382,0.000281097,85.956
1.76431e-005,0.000281097,0.000281574,86.37
1.57357e-005,0.000282289,0.000282766,86.79
1.69278e-005,0.000282528,0.000283005,86.556
1.81199e-005,0.000283482,0.000283958,86.334
1.81199e-005,0.000283243,0.000283958,86.298
1.69278e-005,0.000281813,0.000282289,86.52
1.78815e-005,0.000282051,0.000282528,86.352
1.83583e-005,0.000282766,0.000283482,86.262
1.83583e-005,0.000282289,0.000282766,86.25
1.6451e-005,0.000282051,0.000282528,86.616
