XinV,YinV,RinV,outputphase
2.3842e-005,0.000280382,0.000281336,85.11
2.19346e-005,0.000283243,0.000284197,85.434
3.71935e-005,0.00028515,0.000288012,82.428
3.62399e-005,0.000283243,0.00028515,82.626
3.71935e-005,0.000280382,0.000283243,82.29
3.24252e-005,0.000273706,0.000275614,83.202
2.86103e-005,0.000277521,0.000278475,84.114
2.47956e-005,0.00028515,0.000287058,84.936
2.86103e-005,0.00028515,0.000286104,84.264
2.57493e-005,0.00028515,0.000287058,84.672
3.43325e-005,0.000284197,0.000286104,83.058
3.62399e-005,0.000280382,0.000283243,82.554
3.05178e-005,0.000273706,0.000275614,83.616
2.9564e-005,0.000288012,0.000289919,84.066
2.3842e-005,0.000283243,0.00028515,85.17
2.9564e-005,0.000287058,0.000289919,84.066
3.43325e-005,0.000289919,0.000291826,83.184
2.86103e-005,0.000281336,0.000283243,84.06
3.33788e-005,0.000280382,0.000283243,83.112
2.76567e-005,0.000276567,0.000278475,84.234
2.86103e-005,0.000280382,0.000282289,84.048
2.57493e-005,0.00028515,0.000286104,84.792
2.57493e-005,0.00028515,0.000287058,84.672
3.81472e-005,0.000287058,0.000289919,82.338
3.52862e-005,0.000287058,0.000289919,82.878
3.43325e-005,0.00028515,0.000287058,83.076
2.86103e-005,0.000278475,0.000279428,84.126
2.19346e-005,0.000277521,0.000278475,85.338
2.76567e-005,0.000284197,0.00028515,84.384
2.86103e-005,0.00028515,0.000286104,84.132
3.52862e-005,0.000282289,0.000284197,82.878
2.86103e-005,0.000283243,0.00028515,84.102
3.05178e-005,0.000276567,0.000278475,83.688
2.6703e-005,0.000271799,0.000272753,84.264
2.6703e-005,0.000275614,0.000276567,84.348
2.3842e-005,0.000280382,0.000282289,84.99
3.24252e-005,0.000283243,0.00028515,83.436
3.24252e-005,0.00028515,0.000287058,83.466
3.24252e-005,0.000276567,0.000278475,83.268
3.52862e-005,0.000276567,0.000278475,82.722
3.24252e-005,0.000278475,0.000280382,83.316
