XinV,YinV,RinV,outputphase
6.84266e-005,0.000546936,0.000551466,82.848
6.84266e-005,0.000549082,0.000553612,82.878
7.00955e-005,0.000551466,0.000555996,82.752
7.29566e-005,0.000550989,0.000555757,82.452
7.24797e-005,0.000545744,0.000550512,82.416
6.72345e-005,0.000546221,0.000550274,82.974
6.84266e-005,0.000549797,0.000554089,82.884
7.00955e-005,0.000550512,0.000555042,82.722
7.12876e-005,0.000550274,0.000555042,82.614
7.24797e-005,0.000547413,0.00055242,82.458
7.00955e-005,0.000548843,0.000553373,82.716
6.8665e-005,0.000551466,0.000555757,82.884
6.96187e-005,0.000554089,0.000558618,82.818
7.12876e-005,0.000551943,0.000556473,82.638
7.24797e-005,0.000547413,0.00055242,82.458
6.91419e-005,0.000546221,0.000550512,82.77
6.5804e-005,0.000551227,0.000555281,83.172
6.89034e-005,0.000553373,0.000557665,82.896
7.17645e-005,0.000551466,0.000555996,82.56
7.00955e-005,0.000548605,0.000553135,82.716
6.74729e-005,0.000546459,0.000550751,82.944
6.79498e-005,0.000549082,0.000553135,82.926
7.1526e-005,0.000550751,0.000555519,82.59
7.22413e-005,0.000549797,0.000554327,82.506
7.08108e-005,0.000546698,0.000551227,82.62
6.98571e-005,0.000549559,0.000554089,82.74
6.93803e-005,0.000554327,0.000558618,82.854
7.12876e-005,0.00055242,0.000557188,82.626
7.17645e-005,0.000549082,0.00055385,82.548
7.00955e-005,0.00054789,0.00055242,82.704
6.8665e-005,0.000550512,0.000554804,82.878
7.12876e-005,0.000550512,0.000555281,82.62
7.27181e-005,0.00054932,0.000554089,82.452
7.24797e-005,0.000547413,0.000552181,82.458
6.98571e-005,0.000549797,0.000554089,82.746
7.12876e-005,0.000551943,0.000556473,82.62
7.17645e-005,0.000551227,0.000555757,82.578
7.3195e-005,0.000545267,0.000550035,82.338
7.12876e-005,0.000543598,0.000548128,82.524
6.81882e-005,0.000548605,0.000552896,82.902
7.10492e-005,0.000550751,0.000555281,82.638
7.34334e-005,0.000550512,0.000555281,82.38
7.08108e-005,0.000548128,0.000552658,82.638
6.77113e-005,0.000550035,0.000554089,82.974
6.96187e-005,0.000552658,0.00055695,82.818
7.17645e-005,0.000550751,0.000555519,82.554
7.27181e-005,0.000548128,0.000552896,82.434
7.05724e-005,0.000550035,0.000554565,82.68
7.08108e-005,0.000550274,0.000554804,82.65
7.46255e-005,0.000550274,0.000555281,82.26
7.41486e-005,0.000545505,0.000550512,82.242
6.93803e-005,0.000548128,0.00055242,82.776
6.98571e-005,0.000551466,0.000555757,82.764
7.1526e-005,0.000553373,0.000557903,82.62
7.20029e-005,0.000549559,0.000554089,82.518
7.05724e-005,0.00054789,0.00055242,82.65
6.74729e-005,0.000549797,0.00055385,82.986
6.96187e-005,0.000550751,0.000555281,82.794
7.22413e-005,0.000549082,0.000553612,82.494
7.17645e-005,0.000546936,0.000551466,82.5
7.05724e-005,0.000549082,0.000553612,82.668
7.27181e-005,0.000555519,0.000560287,82.53
7.36718e-005,0.000551943,0.000556711,82.38
7.08108e-005,0.000548605,0.000553135,82.644
6.74729e-005,0.000549082,0.000553373,82.992
6.96187e-005,0.000551704,0.000555996,82.788
7.10492e-005,0.000550751,0.000555281,82.638
7.12876e-005,0.000549082,0.000553612,82.584
6.84266e-005,0.000548128,0.00055242,82.878
6.96187e-005,0.000550035,0.000554327,82.782
7.29566e-005,0.000551704,0.000556473,82.464
7.17645e-005,0.000550035,0.000554565,82.542
6.72345e-005,0.000546936,0.000550989,82.98
6.69961e-005,0.000550751,0.000554804,83.07
6.96187e-005,0.00055242,0.00055695,82.8
7.08108e-005,0.000549797,0.000554327,82.644
6.79498e-005,0.000547413,0.000551704,82.92
6.55656e-005,0.000549082,0.000552896,83.184
6.81882e-005,0.000550512,0.000554565,82.926
7.12876e-005,0.000550274,0.000555042,82.614
7.00955e-005,0.000548128,0.00055242,82.704
6.8665e-005,0.00054932,0.000553612,82.86
6.98571e-005,0.000551466,0.000555996,82.77
7.51023e-005,0.000552181,0.000557426,82.248
7.39102e-005,0.000549797,0.000554804,82.338
7.08108e-005,0.000551704,0.000556234,82.686
7.00955e-005,0.000553612,0.000557903,82.776
7.29566e-005,0.000552896,0.000557665,82.482
7.34334e-005,0.000550751,0.000555757,82.404
7.10492e-005,0.000550274,0.000554804,82.632
7.00955e-005,0.000552896,0.000557426,82.752
7.12876e-005,0.000551943,0.000556473,82.62
7.24797e-005,0.000548366,0.000553135,82.452
7.12876e-005,0.000548843,0.000553612,82.578
6.79498e-005,0.000550751,0.000555042,82.95
7.12876e-005,0.000554565,0.000559095,82.674
7.12876e-005,0.000550751,0.000555281,82.602
6.84266e-005,0.000550274,0.000554565,82.89
6.96187e-005,0.000551466,0.000555757,82.8
7.17645e-005,0.000552181,0.00055695,82.572
7.12876e-005,0.000550989,0.000555757,82.608
7.08108e-005,0.000550274,0.000554804,82.668
6.65192e-005,0.00054932,0.000553373,83.082
7.12876e-005,0.000550512,0.000555281,82.602
7.51023e-005,0.000550989,0.000556234,82.236
7.00955e-005,0.000547651,0.000552181,82.698
6.43735e-005,0.000548605,0.00055242,83.298
6.84266e-005,0.000550512,0.000554804,82.89
7.20029e-005,0.000549797,0.000554565,82.524
7.12876e-005,0.000548605,0.000553135,82.59
6.89034e-005,0.00054932,0.000553612,82.842
7.03339e-005,0.000549797,0.000554089,82.692
7.24797e-005,0.000548128,0.000552896,82.452
7.08108e-005,0.000549082,0.000553612,82.65
